train_id,route,source,destination,distance_km,class,quota,date,day_of_week,is_holiday_or_festival,total_seats,seats_requested,seats_available_at_booking_time,booking_outcome,booking_attempt_timestamp
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,SL,Tatkal,11-07-2027,Sunday,1,72,1,14,success,01-07-2027 04:23
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,1A,Tatkal,07-01-2027,Thursday,0,24,2,11,success,09-12-2026 01:41
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,SL,General,21-03-2027,Sunday,1,72,1,41,success,12-03-2027 10:04
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,SL,General,13-07-2027,Tuesday,0,72,6,39,success,09-07-2027 08:44
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,SL,Tatkal,17-11-2027,Wednesday,0,72,2,28,success,08-11-2027 18:16
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,1A,Tatkal,12-10-2027,Tuesday,0,24,6,19,success,23-09-2027 06:07
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,3A,General,15-07-2027,Thursday,0,64,4,35,success,04-07-2027 18:48
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,SL,General,30-01-2027,Saturday,1,72,7,32,success,31-12-2026 03:24
T009,Pune-Delhi,Pune,New Delhi,1450,3A,Tatkal,31-05-2027,Monday,0,64,2,33,success,08-05-2027 20:16
T010,Delhi-Pune,New Delhi,Pune,1450,3A,Tatkal,20-03-2027,Saturday,1,64,6,12,success,02-03-2027 15:53
T001,Delhi-Mumbai,New Delhi,Mumbai,1384,SL,Tatkal,09-04-2027,Friday,0,72,1,25,success,31-03-2027 11:38
T002,Mumbai-Delhi,Mumbai,New Delhi,1384,2A,General,20-12-2027,Monday,0,46,2,24,success,23-11-2027 00:21
T003,Delhi-Kolkata,New Delhi,Kolkata,1450,SL,Tatkal,27-08-2027,Friday,0,72,1,38,success,29-07-2027 09:00
T004,Kolkata-Delhi,Kolkata,New Delhi,1450,SL,Tatkal,18-11-2027,Thursday,0,72,2,24,success,05-11-2027 08:02
T005,Chennai-Bengaluru,Chennai,Bengaluru,350,SL,Tatkal,10-09-2027,Friday,0,72,1,25,success,10-08-2027 21:31
T006,Bengaluru-Chennai,Bengaluru,Chennai,350,SL,General,27-04-2027,Tuesday,0,72,6,48,success,24-04-2027 22:02
T007,Hyderabad-Mumbai,Hyderabad,Mumbai,710,1A,Tatkal,07-10-2027,Thursday,0,24,5,6,success,20-09-2027 22:00
T008,Mumbai-Hyderabad,Mumbai,Hyderabad,710,SL,Tatkal,25-02-2027,Thursday,0,72,5,28,success,28-01-2027 00:27
T009,Pune-Delhi,Pune,New Delhi,1450,SL,Tatkal,09-05-2027,Sunday,1,72,2,21,success,11-04-2027 22:50
T010,Delhi-Pune,New Delhi,Pune,1450,SL,Tatkal,20-03-2027,Saturday,1,72,3,17,success,06-03-2027 15:10
